 ALD	ALLAHABAD_JN
 UMB	AMBALA_CANT_JN
 UBC	AMBALA_CITY
 ASR	AMRITSAR_JN
AMRO	AMROHA
ANVT	ANAND_VIHAR_TRM
AUBR	ANUGRAHA_N_ROAD
 AMH	AZAMGARH
 BCN	BACHHRAWAN
 BUI	BALLIA
 RAA	BARARA
  BE	BAREILLY
BEAS	BEAS
 BBU	BHABUA_ROAD
BKSC	BOKARO_STL_CITY
 BVI	BORIVALI
 CDG	CHANDIGARH
 CPR	CHHAPRA
 DDN	DEHRADUN
 DOS	DEHRI_ON_SONE
 DBD	DEOBAND
 DPR	DHAMPUR
 DOA	DORAHA
  FD	FAIZABAD_JN
 GJL	GAJRAULA_JN
GRMR	GARHI_MANIKPUR
 GMS	GARHMUKTESAR
GAYA	GAYA_JN
 GZB	GHAZIABAD
 HPU	HAPUR
 HRI	HARDOI
  HW	HARIDWAR_JN
 JUD	JAGADHRI
JUDW	JAGADHRI_WSHOP
 JRC	JALANDHAR_CANT
 JUC	JALANDHAR_CITY
 JAT	JAMMU_TAWI
 KUN	KARNAL
 KNN	KHANNA
 KAT	KHATAULI
KRND	KHORASON_ROAD
 KQR	KODERMA
KOTA	KOTA_JN
KHNM	KUNDA_HARNAMGNJ
KKDE	KURUKSHETRA_JN
 LMN	LACHHMANPUR
 LRJ	LAKSAR_JN
 LGO	LALGOPALGANJ
 LKO	LUCKNOW_NR
 LDH	LUDHIANA_JN
 MAU	MAU_JN
 MUT	MEERUT_CANT
 MTC	MEERUT_CITY
MDNR	MODINAGAR
  MB	MORADABAD
 MGS	MUGHAL_SARAI_JN
 MMA	MUHAMMADABAD
 BCT	MUMBAI_CENTRAL
 MOZ	MUZAFFARNAGAR
 NAD	NAGDA_JN
 NGG	NAGINA
 NBD	NAJIBABAD_JN
NDLS	NEW_DELHI
 GMO	NSC_BOSE_J_GOMO
 PNP	PANIPAT_JN
PTKC	PATHANKOT_CANTT
 PGW	PHAGWARA_JN
 PFM	PHAPHAMAU_JN
 PHR	PHILLAUR_JN
 PRG	PRAYAG
 PRR	PURULIA_JN
 PQN	PWN_KLAKNDER_RD
 RBL	RAE_BARELI_JN
 RPJ	RAJPURA_JN
 RMU	RAMPUR
 RMC	RAM_CHAURA_ROAD
 RTM	RATLAM_JN
  RK	ROORKEE
 SRE	SAHARANPUR
 SAN	SANDILA
 SSM	SASARAM
 SEO	SEOHARA
 SHG	SHAHGANJ_JN
 SPN	SHAHJEHANPUR
 SIR	SIRHIND_JN
 SNP	SONIPAT
 SZM	SUBZI_MANDI
  ST	SURAT
TATA	TATANAGAR_JN
 UHP	UDHAMPUR
 UCR	UNCHAHAR_JN
 BRC	VADODARA_JN
SVDK	VAISHNO_DEVI_KATRA
 BSB	VARANASI_JN
YJUD	YAMUNANAGAR_JAGADHRI
